SL No.,Ayurveda Term,Sentence where it appears,Classification
1150,Kapha,"Among them, chest is the most important site of Kapha Dosha.",Symptom
1151,Pitta,"[8] Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 758 
 
General functions of balanced Doshas: 
सिघशरीरचरास्तु िातवपत्तश्लेष्माणः सिघन्स्मञ्छरीरे कुवपताकुवपताः शुभाशुभातन कुिघन्वत- 
प्रकृततभूताः शुभावयुपचयबलिणघप्रसादादीतन, अशुभातन पुनविघकृततमापवना 
विकारसञ्ज्ञकातन||९||  
sarvaśarīracarāstu vātapittaśleṣmāṇaḥ sarvasmiñcharīre kupitākupitāḥ 
śubhāśubhāni kurvanti- prakṛtibhūtāḥ 
śubhānyupacayabalavarṇaprasādādīni, aśubhāni punarvikṛtimāpannā 
vikārasañjñakāni||9||  
All the three Doshas are present in all parts of the body.",Symptom
1152,Pitta,"When they are balanced, they cause 
Upachaya – body nourishment 
Bala – improvement of strength and immunity 
Varna Prasada – improvement of skin health and complexion [9] 
Diseases caused by Tridosha Imbalance:  
Endogenous diseases (Nija Roga) again are two types viz, 
Samanyaja Vyadhi – diseases caused by Vata, Pitta and Kapha in different 
combinations and 
Nanatmaja Vyadhi – specific diseases caused by individual Doshas – 
Vata, Pitta and Kapha.",Symptom
1153,Vata,"When they are balanced, they cause 
Upachaya – body nourishment 
Bala – improvement of strength and immunity 
Varna Prasada – improvement of skin health and complexion [9] 
Diseases caused by Tridosha Imbalance:  
Endogenous diseases (Nija Roga) again are two types viz, 
Samanyaja Vyadhi – diseases caused by Vata, Pitta and Kapha in different 
combinations and 
Nanatmaja Vyadhi – specific diseases caused by individual Doshas – 
Vata, Pitta and Kapha.",Symptom
1154,Kapha,"When they are balanced, they cause 
Upachaya – body nourishment 
Bala – improvement of strength and immunity 
Varna Prasada – improvement of skin health and complexion [9] 
Diseases caused by Tridosha Imbalance:  
Endogenous diseases (Nija Roga) again are two types viz, 
Samanyaja Vyadhi – diseases caused by Vata, Pitta and Kapha in different 
combinations and 
Nanatmaja Vyadhi – specific diseases caused by individual Doshas – 
Vata, Pitta and Kapha.",Symptom
1155,Pitta,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 759 
 
Nanatmaja Vyadhi – 
तत्र विकाराः सामावयजा, नानात्मजाश्च|  
तत्र सामावयजाः पूिघमष्ोदरीये व्याख्याताः, नानात्मजांन्स्त्िहाध्यायेऽनुव्याख्यास्यामः|  
तयथा- अशीततिाघतविकाराः, चत्िाररंशत् वपत्तविकाराः, विंशततः श्लेष्मविकाराः||१०||  
tatra vikārāḥ sāmānyajā, nānātmajāśca|  
tatra sāmānyajāḥ pūrvamaṣṭodarīye vyākhyātāḥ, 
nānātmajāṃstvihādhyāye'nuvyākhyāsyāmaḥ|  
tadyathā- aśītirvātavikārāḥ, catvāriṃśat pittavikārāḥ, viṃśatiḥ 
śleṣmavikārāḥ||10||  
Diseases caused by individual Doshas – 
Vata when imbalanced alone, causes 80 types of disorders 
Pitta when imbalanced alone, causes 40 types of disorders 
Kapha when imbalanced alone, causes 20 types of disorders.",Symptom
1156,Vata,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 759 
 
Nanatmaja Vyadhi – 
तत्र विकाराः सामावयजा, नानात्मजाश्च|  
तत्र सामावयजाः पूिघमष्ोदरीये व्याख्याताः, नानात्मजांन्स्त्िहाध्यायेऽनुव्याख्यास्यामः|  
तयथा- अशीततिाघतविकाराः, चत्िाररंशत् वपत्तविकाराः, विंशततः श्लेष्मविकाराः||१०||  
tatra vikārāḥ sāmānyajā, nānātmajāśca|  
tatra sāmānyajāḥ pūrvamaṣṭodarīye vyākhyātāḥ, 
nānātmajāṃstvihādhyāye'nuvyākhyāsyāmaḥ|  
tadyathā- aśītirvātavikārāḥ, catvāriṃśat pittavikārāḥ, viṃśatiḥ 
śleṣmavikārāḥ||10||  
Diseases caused by individual Doshas – 
Vata when imbalanced alone, causes 80 types of disorders 
Pitta when imbalanced alone, causes 40 types of disorders 
Kapha when imbalanced alone, causes 20 types of disorders.",Symptom
1157,Kapha,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 759 
 
Nanatmaja Vyadhi – 
तत्र विकाराः सामावयजा, नानात्मजाश्च|  
तत्र सामावयजाः पूिघमष्ोदरीये व्याख्याताः, नानात्मजांन्स्त्िहाध्यायेऽनुव्याख्यास्यामः|  
तयथा- अशीततिाघतविकाराः, चत्िाररंशत् वपत्तविकाराः, विंशततः श्लेष्मविकाराः||१०||  
tatra vikārāḥ sāmānyajā, nānātmajāśca|  
tatra sāmānyajāḥ pūrvamaṣṭodarīye vyākhyātāḥ, 
nānātmajāṃstvihādhyāye'nuvyākhyāsyāmaḥ|  
tadyathā- aśītirvātavikārāḥ, catvāriṃśat pittavikārāḥ, viṃśatiḥ 
śleṣmavikārāḥ||10||  
Diseases caused by individual Doshas – 
Vata when imbalanced alone, causes 80 types of disorders 
Pitta when imbalanced alone, causes 40 types of disorders 
Kapha when imbalanced alone, causes 20 types of disorders.",Symptom
1158,Vata,"[10] 
Eighty diseases caused by Vata alone – Vataja Nanatmaja Vyadhi: 
तत्रादौ िातविकाराननुव्याख्यास्यामः|  
तयथा- निभेदश्च, विपाहदका च, पादशूलं च, पादभ्रंशश्च, पादसुप्तता च, िातिुड्भडता च, 
गुल्फग्रहश्च, वपन्ण्डकोद्वेष्नं च, गृध्रसी च, जानुभेदश्च, जानुविश्लेिश्च, ऊरुस्तम्भश्च, 
ऊरुसादश्च, पाङ्गुल्यं च, गुदभ्रंशश्च, गुदाततघश्च, िृिणािेपश्च, शेफस्तम्भश्च, 
िङ्िणानाहश्च, श्रोखणभेदश्च, विड्भभेदश्च, उदाितघश्च, िञ्जत्िं च, कुब्जत्िं च, िामनत्िं च, 
त्रत्रकग्रहश्च, पृष्ठग्रहश्च, पाश्वाघिमदघश्च, उदरािेष्श्च, हृवमोहश्च, हृद्धरिश्च, ििौद्घिघश्च, 
ििौपरोधश्च, ििस्तोदश्च, बाहुशोिश्च, ग्रीिास्तम्भश्च, मवयास्तम्भश्च, कण्ठोद्धध्िंसश्च, 
हनुभेदश्च, ओष्ठभेदश्च, अक्षिभेदश्च, दवतभेदश्च, दवतशैगथल्यं च, मूकत्िं च, िाक्तसङ्गश्च, 
किायास्यता च, मुिशोिश्च, अरसज्ञता च, घ्राणनाशश्च, कणघशूलं च, अशब्दश्रिणं च, 
उच्चैःश्रुततश्च, बागधयं च, ित्मघस्तम्भश्च, ित्मघसङ्कोचश्च, ततसमरं च, अक्षिशूलं च, Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 760 
 
अक्षिव्युदासश्च, भ्रूव्युदासश्च, शङ्िभेदश्च, ललाटभेदश्च, सशरोरुक् च, केशभूसमस्फुटनं च, 
अहदघतं च, एकाङ्गरोगश्च, सिाघङ्गरोगश्च, पििधश्च, आिेपकश्च, दण्डकश्च, तमश्च  , 
भ्रमश्च, िेपथुश्च, जृम्भा च, हहक्तका च, वििादश्च, अततप्रलापश्च, रौक्ष्यं च, पारुष्यं च, 
श्यािारुणािभासता च, अस्िप्नश्च, अनिन्स्थतगचत्तत्िं च; इत्यशीततिाघतविकारा 
िातविकाराणामपररसङ्ख्येयानामाविष्कृततमा व्याख्याताः||११|| 
tatrādau vātavikārānanuvyākhyāsyāmaḥ|  
tadyathā- nakhabhedaśca, vipādikā ca, pādaśūlaṃ ca, pādabhraṃśaśca, 
pādasuptatā ca, vātakhuḍḍatā ca, gulphagrahaśca, piṇḍikodveṣṭanaṃ ca, 
gṛdhrasī ca, jānubhedaśca, jānuviśleṣaśca, ūrustambhaśca, ūrusādaśca, 
pāṅgulyaṃ ca, gudabhraṃśaśca, gudārtiśca, vṛṣaṇākṣepaśca, 
śephastambhaśca, vaṅkṣaṇānāhaśca, śroṇibhedaśca, viḍbhedaśca, 
udāvartaśca, khañjatvaṃ ca, kubjatvaṃ ca, vāmanatvaṃ ca, trikagrahaśca, 
pṛṣṭhagrahaśca, pārśvāvamardaśca, udarāveṣṭaśca, hṛnmohaśca, 
hṛddravaśca, vakṣaudgharṣaśca, vakṣauparodhaśca, vakṣastodaśca, 
bāhuśoṣaśca, grīvāstambhaśca, manyāstambhaśca, kaṇṭhoddhvaṃsaśca, 
hanubhedaśca, oṣṭhabhedaśca, akṣibhedaśca, dantabhedaśca, 
dantaśaithilyaṃ ca, mūkatvaṃ ca, vāksaṅgaśca, kaṣāyāsyatā ca, 
mukhaśoṣaśca, arasajñatā ca, ghrāṇanāśaśca, karṇaśūlaṃ ca, 
aśabdaśravaṇaṃ ca, uccaiḥśrutiśca, bādhiryaṃ ca, vartmastambhaśca, 
vartmasaṅkocaśca, timiraṃ ca, akṣiśūlaṃ ca, akṣivyudāsaśca, 
bhrūvyudāsaśca, śaṅkhabhedaśca, lalāṭabhedaśca, śiroruk ca, 
keśabhūmisphuṭanaṃ ca, arditaṃ ca, ekāṅgarogaśca, sarvāṅgarogaśca, 
pakṣavadhaśca, ākṣepakaśca, daṇḍakaśca, tamaśca  , bhramaśca, 
vepathuśca, jṛmbhā ca, hikkā ca, viṣādaśca, atipralāpaśca, raukṣyaṃ ca, 
pāruṣyaṃ ca, śyāvāruṇāvabhāsatā ca, asvapnaśca, anavasthitacittatvaṃ Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 761 
 
ca; ityaśītirvātavikārā vātavikārāṇāmaparisaṅkhyeyānāmāviṣkṛtatamā 
vyākhyātāḥ||11|| 
Eighty diseases caused by Vata alone – Vataja Nanatmaja Vyadhi: 
Though Vata imbalance diseases are innumerable, the following eighty 
diseases are the most commonly manifested ones: 
1.",Symptom
1159,Vata,"Vata khuddata (club foot) 
7.",Symptom
1160,Vata,"[9-11] 
Qualities of Vata Dosha – how it is exhibited in Vata Nanatmaja 
diseases –  
सिेष्िवप िल्िेतेिु िातविकारेिूक्तेष्िवयेिु चानुक्तेिु िायोररदमात्मरूपमपररणासम कमघणश्च 
स्िलिणं, यदुपलभय तदियिं िा विमुक्तसवदेहा िातविकारमेिाध्यिस्यन्वत कुशलाः; 
तयथा- रौक्ष्यं शैत्यं लार्िं िैशयं गततरमूतघत्िमनिन्स्थतत्िं चेतत िायोरात्मरूपाखण; 
एिंविधत्िाच्च िायोः कमघणः स्िलिणसमदमस्य भितत तं तं शरीराियिमाविशतः; 
तयथा- स्रंसभ्रंसव्याससङ्गभेदसादहिघतिघकम्पितघचालतोदव्यथाचेष्ादीतन, तथा 
िरपरुिविशदसुविरारुणिणघकिायविरसमुित्िशोिशूलसुतप्तसङ्कोचनस्तम्भनिञ्जतादी
तन च िायोः कमाघखण; तैरन्वितं िातविकारमेिाध्यिस्येत्||१२||  
sarveṣvapi khalveteṣu vātavikāreṣūkteṣvanyeṣu cānukteṣu 
vāyoridamātmarūpamapariṇāmi karmaṇaśca svalakṣaṇaṃ, yadupalabhya 
tadavayavaṃ vā vimuktasandehā vātavikāramevādhyavasyanti kuśalāḥ; 
tadyathā- raukṣyaṃ śaityaṃ lāghavaṃ vaiśadyaṃ Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 765 
 
gatiramūrtatvamanavasthitatvaṃ ceti vāyorātmarūpāṇi; evaṃvidhatvācca 
vāyoḥ karmaṇaḥ svalakṣaṇamidamasya bhavati taṃ taṃ 
śarīrāvayavamāviśataḥ; tadyathā- 
sraṃsabhraṃsavyāsasaṅgabhedasādaharṣatarṣakampavartacālatodavyathā
ceṣṭādīni, tathā 
kharaparuṣaviśadasuṣirāruṇavarṇakaṣāyavirasamukhatvaśoṣaśūlasuptisaṅk
ocanastambhanakhañjatādīni ca vāyoḥ karmāṇi; tairanvitaṃ 
vātavikāramevādhyavasyet||12||  
Qualities of Vata Dosha – how it is exhibited in Vata Nanatmaja 
diseases –  
In all the pure Vata diseases, enumerated or implied, the inherent natural 
qualities and actions of Vata are quite obviously manifested wholly or 
partially and as such it is not difficult for a competent physician to correctly 
diagnose the Vatika type of diseases; 
Raukshya – Rookshata – roughness, 
Shaitya – Sheetata – coolness, 
Laaghava – Laghu – lightness 
Vaishadya – clarity, non-sliminess, 
Gati – movement, 
Amoortata – shapelessness, 
Anavastitatva – instability- these are the inherent qualities of Vata.",Symptom
1161,Vata,"Vata Dosha while moving moving from one part of the body, if abnormal, 
exhibits symptoms like – 
Sramsa – looseness, Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 766 
 
Bhramsa – dislocation, 
Vyasa – expansion, 
Sangha – obstruction, 
Bheda – separation, 
Saada – depression, 
Harsha – excitation, 
Tarsha – thirst, 
Kampa – trembling, 
Varta – circular movement, 
Chaala – motion, 
Toda – piercing pain, 
Vyatha – aching pain, 
Cheshta action, etc.",Symptom
1162,Vata,"– these are the actions that help a competent 
physician to diagnose the pure Vatik type diseases.[12] 
General principles of treatment of Vata disorders: 
Madhura, Amla Lavana Snigdha Ushna Upakrama – The vitiated Vata 
should be treated by drugs having sweet sour and saline taste and 
unctuous and hot qualities 
Snehana – oleation, 
Sveda – fomentation, sweating treatment 
Asthapana – decoction enema 
Anuvasana – oil enema 
Nasyakarma – nasal instillation of drops, 
Bhojana – healthy diet, 
Abhyanga – massage, 
Utsadana – unction, 
Parisheka – sprinkling of oil / liquid  containing materials having anti-Vata 
properties.",Symptom
1163,Vata,"Importance of Basti treatment in Vata disorders – 
तं मधुराम्ललिणन्स्ननधोष्णैरुपक्रमैरुपक्रमेत, 
स्नेहस्िेदास्थापनानुिासननस्तःकमघभोजनाभयङ्गोत्सादनपररिेकाहदसभिाघतहरैमाघत्रां कालं 
च प्रमाणीकृत्य; तत्रास्थापनानुिासनं तु िलु सिघत्रोपक्रमेभयो िाते प्रधानतमं मवयवते 
सभिजः, तद्धध्याहदत एि पक्तिाशयमनुप्रविश्य केिलं िैकाररकं िातमूलं तछनवत्त; 
तत्रािन्जतेऽवप िाते शरीरावतगघता िातविकाराः प्रशान्वतमापयवते, यथा िनस्पतेमूघले 
तछवने स्कवधशािाप्ररोहकुसुमफलपलाशादीनां तनयतो विनाशस्तद्वत्||१३|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 768 
 
taṃ madhurāmlalavaṇasnigdhoṣṇairupakramairupakrameta, 
snehasvedāsthāpanānuvāsananastaḥkarmabhojanābhyaṅgotsādanapariṣek
ādibhirvātaharairmātrāṃ kālaṃ ca pramāṇīkṛtya; tatrāsthāpanānuvāsanaṃ 
tu khalu sarvatropakramebhyo vāte pradhānatamaṃ manyante bhiṣajaḥ, 
taddhyādita eva pakvāśayamanupraviśya kevalaṃ vaikārikaṃ vātamūlaṃ 
chinatti; tatrāvajite'pi vāte śarīrāntargatā vātavikārāḥ praśāntimāpadyante, 
yathā vanaspatermūle chinne 
skandhaśākhāprarohakusumaphalapalāśādīnāṃ niyato vināśastadvat||13||  
Importance of Basti treatment in Vata disorders – 
Of all the treatments stated above, the Asthapana (decoction enema) and 
Anuvasana (oil enema) are the treatment par excellence for the cure of 
Vatik diseases, because immediately after entering the colon, they strike at 
the very root of the vitiated Vata and when Vata is overcome in the colon, 
even the entire vitiated Vata dwelling in other parts of the body is 
automatically alleviated.",Symptom
1164,Pitta,"This can be likened to the cutting of the root of a tree which result in the 
automatic fall of the trunk, branches, sprouts, flowers, fruits, leaves, 
etc.[13] 
Forty specific diseases of Pitta – Pittaja Nanatmaja Vyadhi – 
वपत्तविकारांश्चत्िाररंशतमत ऊध्िघमनुव्याख्यास्यामः- ओिश्च, प्लोिश्च, दाहश्च, दिथुश्च, 
धूमकश्च, अम्लकश्च, विदाहश्च, अवतदाघहश्च, अंसदाहश्च, ऊष्मागधक्तयं च, अततस्िेदश्च 
(अङ्गस्िेदश्च), अङ्गगवधश्च, अङ्गािदरणं च, शोखणतक्तलेदश्च, मांसक्तलेदश्च, त्िनदाहश्च, 
(मांसदाहश्च), त्िगिदरणं च, चमघदलनं च, रक्तकोठश्च, रक्तविस्फोटश्च, रक्तवपत्तं च, Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 769 
 
रक्तमण्डलातन च, हररतत्िं च, हारररत्िं च, नीसलका च, किा
(
क्ष्या
)
च
, कामला च, 
ततक्तास्यता च, लोहहतगवधास्यता च, पूततमुिता च, तृष्णागधक्तयं च, अतृतप्तश्च, 
आस्यविपाकश्च, गलपाकश्च, अक्षिपाकश्च, गुदपाकश्च, मेढ्रपाकश्च, जीिादानं च, 
तमःप्रिेशश्च, हररतहारररनेत्रमूत्रिचघस्त्िं च; इतत चत्िाररंशन्त्पत्तविकाराः 
वपत्तविकाराणामपररसङ्ख्येयानामाविष्कृततमा व्याख्याताः||१४|| 
pittavikārāṃścatvāriṃśatamata ūrdhvamanuvyākhyāsyāmaḥ- oṣaśca, 
ploṣaśca, dāhaśca, davathuśca, dhūmakaśca, amlakaśca, vidāhaśca, 
antardāhaśca, aṃsadāhaśca, ūṣmādhikyaṃ ca, atisvedaśca 
(aṅgasvedaśca), aṅgagandhaśca, aṅgāvadaraṇaṃ ca, śoṇitakledaśca, 
māṃsakledaśca, tvagdāhaśca, (māṃsadāhaśca), tvagavadaraṇaṃ ca, 
carmadalanaṃ ca, raktakoṭhaśca, raktavisphoṭaśca, raktapittaṃ ca, 
raktamaṇḍalāni ca, haritatvaṃ ca, hāridratvaṃ ca, nīlikā ca, kakṣā(kṣyā)ca, 
kāmalā ca, tiktāsyatā ca, lohitagandhāsyatā ca, pūtimukhatā ca, 
tṛṣṇādhikyaṃ ca, atṛptiśca, āsyavipākaśca, galapākaśca, akṣipākaśca, 
gudapākaśca, meḍhrapākaśca, jīvādānaṃ ca, tamaḥpraveśaśca, 
haritahāridranetramūtravarcastvaṃ ca; iti catvāriṃśatpittavikārāḥ 
pittavikārāṇāmaparisaṅkhyeyānāmāviṣkṛtatamā vyākhyātāḥ||14|| 
 
Now we shall explain the forty varieties of diseases due to the vitiation of 
Pitta.",Symptom
1165,Rakta,"This can be likened to the cutting of the root of a tree which result in the 
automatic fall of the trunk, branches, sprouts, flowers, fruits, leaves, 
etc.[13] 
Forty specific diseases of Pitta – Pittaja Nanatmaja Vyadhi – 
वपत्तविकारांश्चत्िाररंशतमत ऊध्िघमनुव्याख्यास्यामः- ओिश्च, प्लोिश्च, दाहश्च, दिथुश्च, 
धूमकश्च, अम्लकश्च, विदाहश्च, अवतदाघहश्च, अंसदाहश्च, ऊष्मागधक्तयं च, अततस्िेदश्च 
(अङ्गस्िेदश्च), अङ्गगवधश्च, अङ्गािदरणं च, शोखणतक्तलेदश्च, मांसक्तलेदश्च, त्िनदाहश्च, 
(मांसदाहश्च), त्िगिदरणं च, चमघदलनं च, रक्तकोठश्च, रक्तविस्फोटश्च, रक्तवपत्तं च, Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 769 
 
रक्तमण्डलातन च, हररतत्िं च, हारररत्िं च, नीसलका च, किा
(
क्ष्या
)
च
, कामला च, 
ततक्तास्यता च, लोहहतगवधास्यता च, पूततमुिता च, तृष्णागधक्तयं च, अतृतप्तश्च, 
आस्यविपाकश्च, गलपाकश्च, अक्षिपाकश्च, गुदपाकश्च, मेढ्रपाकश्च, जीिादानं च, 
तमःप्रिेशश्च, हररतहारररनेत्रमूत्रिचघस्त्िं च; इतत चत्िाररंशन्त्पत्तविकाराः 
वपत्तविकाराणामपररसङ्ख्येयानामाविष्कृततमा व्याख्याताः||१४|| 
pittavikārāṃścatvāriṃśatamata ūrdhvamanuvyākhyāsyāmaḥ- oṣaśca, 
ploṣaśca, dāhaśca, davathuśca, dhūmakaśca, amlakaśca, vidāhaśca, 
antardāhaśca, aṃsadāhaśca, ūṣmādhikyaṃ ca, atisvedaśca 
(aṅgasvedaśca), aṅgagandhaśca, aṅgāvadaraṇaṃ ca, śoṇitakledaśca, 
māṃsakledaśca, tvagdāhaśca, (māṃsadāhaśca), tvagavadaraṇaṃ ca, 
carmadalanaṃ ca, raktakoṭhaśca, raktavisphoṭaśca, raktapittaṃ ca, 
raktamaṇḍalāni ca, haritatvaṃ ca, hāridratvaṃ ca, nīlikā ca, kakṣā(kṣyā)ca, 
kāmalā ca, tiktāsyatā ca, lohitagandhāsyatā ca, pūtimukhatā ca, 
tṛṣṇādhikyaṃ ca, atṛptiśca, āsyavipākaśca, galapākaśca, akṣipākaśca, 
gudapākaśca, meḍhrapākaśca, jīvādānaṃ ca, tamaḥpraveśaśca, 
haritahāridranetramūtravarcastvaṃ ca; iti catvāriṃśatpittavikārāḥ 
pittavikārāṇāmaparisaṅkhyeyānāmāviṣkṛtatamā vyākhyātāḥ||14|| 
 
Now we shall explain the forty varieties of diseases due to the vitiation of 
Pitta.",Ingredient
1166,Pitta,"Even though the diseases due to the vitiation of Pitta are 
innumerable, the following forty varieties are the most commonly 
manifested.",Symptom
1167,Rakta,"Rakta kotha (urticaria) 
20.",Ingredient
1168,Rakta,"Rakta visphota (red vesicle) 
21.",Ingredient
1169,Pitta,"Rakta Pitta(bleeding tendency) 
22.",Symptom
1170,Rakta,"Rakta Pitta(bleeding tendency) 
22.",Ingredient
1171,Rakta,"Rakta mandala (red wheals) 
23.",Ingredient
1172,Pitta,"Harita haridra netra mutra varchas (greenish and yellowish coloration 
of eyes, urine & faeces)[14] 
Patho- physiology of Pitta diseases: 
सिेष्िवप िल्िेतेिु वपत्तविकारेिूक्तेष्िवयेिु चानुक्तेिु वपत्तस्येदमात्मरूपमपररणासम 
कमघणश्च स्िलिणं, यदुपलभय तदियिं िा विमुक्तसवदेहाः वपत्तविकारमेिाध्यिस्यन्वत 
कुशलाः; तयथा- औष्ण्यं तैक्ष्ण्यं रित्िमनततस्नेहो िणघश्च शुक्तलारुणिजो गवधश्च विस्रो 
रसौ च कटुकाम्लौ सरत्िं च वपत्तस्यात्मरूपाखण; एिंविधत्िाच्च वपत्तस्य कमघणः 
स्िलिणसमदमस्य भितत तं तं शरीराियिमाविशतः; तयथा- 
दाहौष्ण्यपाकस्िेदक्तलेदकोथकण्डूस्रािरागा यथास्िं च गवधिणघरसासभतनिघतघनं वपत्तस्य 
कमाघखण; तैरन्वितं वपत्तविकारमेिाध्यिस्येत्||१५|| 
sarveṣvapi khalveteṣu pittavikāreṣūkteṣvanyeṣu cānukteṣu 
pittasyedamātmarūpamapariṇāmi karmaṇaśca svalakṣaṇaṃ, yadupalabhya 
tadavayavaṃ vā vimuktasandehāḥ pittavikāramevādhyavasyanti kuśalāḥ; Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 772 
 
tadyathā- auṣṇyaṃ taikṣṇyaṃ dravatvamanatisneho varṇaśca 
śuklāruṇavarjo gandhaśca visro rasau ca kaṭukāmlau saratvaṃ ca 
pittasyātmarūpāṇi; evaṃvidhatvācca pittasya karmaṇaḥ 
svalakṣaṇamidamasya bhavati taṃ taṃ śarīrāvayavamāviśataḥ; tadyathā- 
dāhauṣṇyapākasvedakledakothakaṇḍūsrāvarāgā yathāsvaṃ ca 
gandhavarṇarasābhinirvartanaṃ pittasya karmāṇi; tairanvitaṃ 
pittavikāramevādhyavasyet||15|| 
In all the Paittika type of diseases enumerated or implied, the inherent 
natural qualities and actions of Pitta are quite obviously manifested wholly 
or partially and as such it is not difficult for a competent physician to 
correctly diagnose the Paittika type of diseases.",Symptom
1173,Pitta,"Qualities of Pitta – 
The inherent natural qualities of Pitta are 
Aushnya – Ushna – heat, 
Taikshnya – Teekshna – sharpness, 
Dravatva – liquidity, 
Anati Sneha –  slight unctuousness, mild oiliness, 
all colors except white and red, 
Visra Gandha – fishy smell, 
Katu, Amla – acrid and sour tastes 
Saratva – fluidity.",Symptom
1174,Pitta,"Pitta imbalance symptoms - 
Daaha – burning sensation, 
Aushnya – ushna – heat, Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 773 
 
Paaka – suppuration, 
Sveda – perspiration, 
Kleda – sloughing, 
Kotha – putrification, 
Kandu – itching, 
Srava – discharge, 
Raaga – redness, 
and exhibition of its inherent smell, color and taste.",Symptom
1175,Pitta,"General principles of treatment for Pitta diseases: 
तं मधुरततक्तकिायशीतैरुपक्रमैरुपक्रमेत स्नेहविरेकप्रदेहपररिेकाभयङ्गाहदसभः वपत्तहरैमाघत्रां 
कालं च प्रमाणीकृत्य; विरेचनं तु सिोपक्रमेभयः वपत्ते प्रधानतमं मवयवते सभिजः; 
तद्धध्याहदत एिामाशयमनुप्रविश्य केिलं िैकाररकं वपत्तमूलमपकिघतत, तत्रािन्जते वपत्तेऽवप 
शरीरावतगघताः वपत्तविकाराः प्रशान्वतमापयवते, यथाऽननौ व्यपोढे केिलमन्ननगृहं 
शीतीभितत तद्वत्||१६|| 
taṃ madhuratiktakaṣāyaśītairupakramairupakrameta 
snehavirekapradehapariṣekābhyaṅgādibhiḥ pittaharairmātrāṃ kālaṃ ca 
pramāṇīkṛtya; virecanaṃ tu sarvopakramebhyaḥ pitte pradhānatamaṃ 
manyante bhiṣajaḥ; taddhyādita evāmāśayamanupraviśya kevalaṃ 
vaikārikaṃ pittamūlamapakarṣati, tatrāvajite pitte'pi śarīrāntargatāḥ 
pittavikārāḥ praśāntimāpadyante, yathā'gnau vyapoḍhe kevalamagnigṛhaṃ 
śītībhavati tadvat||16|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 774 
 
General principles of treatment for Pitta diseases: 
Madhura, Tikta Kashaya – Pitta is treated with herbs having sweet, bitter 
and astringent tastes 
Sheeta – cooling qualities and 
Snehana – oleation 
Virechana – purgation, 
Pradeha – unction, 
Parisheka – effusion, 
Abhyanga – massage, etc.",Symptom
1176,Pitta,"procedures done with herbs havin anti Pitta 
qualities.",Symptom
